Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS AH 527,Topics in Art and Society,,"Topic for Fall 2025, Section A1: The Mount Auburn Cemetery. An exploration of remembrance, and the invention, appropriation, and development of imagery and landscape for commemorative monuments. Much of this seminar takes place on site in the Mount Auburn Cemetery and in regional early Burying Grounds. Walking shoes required.",,,,,,,,,,,,,,,,,,,
CAS AH 528,Landscapes: Art and Environment in China,,"Prerequisites: First-Year Writing Seminar (e.g., WR 100 or 120). - Examines art and ecology, power and cartography, and microcosms within the Chinese visual culture of landscapes. Topics include mountain cults, Daoist grotto-heavens, ink painting, gardens, multimedia panoramic views, and contemporary art projects that engage with environmental concerns.",,,,,,,,,,,,,X,X,,,X,,
CAS AH 530,American Art and the City,,"Topic for Fall 2025: Visual Culture of the American City. This course examines the art forms, popular pictorial media, visual entertainments, and structures of looking that developed in American cities in the years between 1790 and 1917.",,,,,,,,,,,,,,,,,,,
CAS AH 531,Modern Asian Art in a Global Context,,"Topic for Fall 2025: Japan on World Display. Thematic study of the presentation and performance of Japan at international events, starting with 19th-century world’s fairs, with attention to domestic regional fairs, colonial expositions, and the Olympics hosted in Japan. Focus on architectural, artistic, and visual expressions of nation.",,,,,,,,,,,,,,,,,,,
CAS AH 533,Seminar: Greek Art and Architecture,"First Year Writing Seminar (e.g., WR 100 or WR 120)","Topic for Fall 2025: Greek Art in Boston Area Museums. We investigate Greek art in the Boston area to understand and critique its display; compare local collections to others in the United States, Europe, west Asia, and Egypt; and learn about collections management using BU’s Gabel Museum of Archaeology.",,,,,,,,,,,,,X,X,,,X,,
CAS AH 546,Places of Memory: Historic Preservation Theory and Practice,,"Covers key aspects of the history, theory, and practice of historic preservation. Preservation is discussed in the context of cultural history and the changing relationship between existing buildings and landscapes and attitudes toward history, memory, invented tradition, and place. Also offered as CAS AM 546 and CAS HI 546.",,,,,,,,,,,,,,,,,,,
CAS AH 548,Global Heritage Conservation,consent of instructor.,"Examining global approaches towards heritage conservation through a study of concepts, charters and case studies, using themes such as world heritage, cultural tourism, historic towns, new design, intangible heritage, authenticity, integrity, recent past, historic landscapes, conflict, disasters, revitalization and reconstruction.",,,,,,,,,,,,,,,,,,,
CAS AH 554,Boston Architectural and Community History Workshop,,"Focusing on a single neighborhood in Greater Boston, this course explores ways to assess and narrate architectural and urban development. Emphasis is on primary sources—land deeds and plans, building permits, historic maps, etc. —coupled with fieldtrips and classroom discussion.",,,,,,,,,,,,,,,,,,,
CAS AH 557,High Renaissance and Mannerist Art in Italy,,"The seminar considers Italian Renaissance art theory and its role in shaping and responding to the interests and concerns of artists. Texts take a variety of literary forms such as commentaries, dialogues, poems, and courtly handbooks.",,X,,,,,,,,,,,X,,,,,,
CAS AH 563,Global Baroque: Art and Power in the Seventeenth Century,junior standing or consent of instructor.,"Investigates the interaction between art and structures of power in seventeenth-century Europe, with particular attention to its global dimensions. Focus on Rubens, Rembrandt, Velazquez, and Bernini but also other forms of cultural production that circulated through global trade.",,,,,,,,,,,,,,,,,,,
CAS AH 571,Problems in African Diaspora Art History,,"This course examines the African Diaspora in art history, addressing debates on its definition and study. It challenges students to explore diaspora’s impact on artistic and scholarly practice, introducing key debates shaping the sub-field of African Diaspora Art History.",,,,,,,,,,,,,,,,,,,
CAS AH 574,Topics in African Art,,"Repeatable for credit as topics change. Topic for Fall 2025, Section A1: This course examines the collection and display of the arts of Africa and the Diaspora from the colonial period to the present. The course also considers seminal exhibitions of modern and contemporary African art, asking how these practices have shifted perceptions of African art in the twenty-first century.",,,,,,,,,,,,,,,,,,,
